StationId,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
GJ005,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,"Vapi, Gujarat, India","Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India",20.3735482,72.9084376,15.33554683,1542.124254,1022.757012
GJ006,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,"Vatva, Gujarat, India","Vatva, Vatva phase -2 road, Vatva Gidc, Vatva Taluka, Ahmedabad, Gujarat, 382445, India",22.9589978,72.6297981,11.45434074,1176.302379,35.10636999
HR001,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,"Ambala, Haryana, India","Ambala, Ambala Cantt, Ambala, Haryana, 134002, India",30.3843674,76.770421,39.92666644,761.00798,1471.549855
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,"Bahadurgarh, Haryana, India","Bahadurgarh, Jhajjar, Haryana, India",28.6609648,76.8346765,3.534755618,725.7641373,6814.363228
HR003,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,"Ballabgarh, Haryana, India","Ballabgarh, Faridabad, Haryana, India",28.2940728,77.3592238,39.48170715,1903.099294,4108.902589
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,"Bhiwani, Haryana, India","Bhiwani, Haryana, 125021, India",28.7931703,76.1391283,2.43894511,258.9225827,1277.198585
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,"Dharuhera, Haryana, India","Dharuhera, Rewari, Haryana, 123106, India",28.2055216,76.7953099,10.05763679,3127.936765,531.3712434
HR006,"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.8375728,823.8190339,1287.572049
HR007,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.8375728,823.8190339,1287.572049
HR008,"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.8375728,823.8190339,1287.572049
HR009,"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.8375728,823.8190339,1287.572049
HR010,"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,"Fatehabad, Haryana, India","Fatehabad, Haryana, India",29.5359209,75.5752901,195.1175123,2597.726501,10064.24998
