,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
74,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194,22.767007810485932,920.6391137409985,2459.9117959820674
75,"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,"Hisar, Haryana, India","Hisar, Haryana, India",29.2396596,75.8174505,49.11381664445305,7168.342019167568,11013.080756829122
76,"Police Lines, Jind - HSPCB",Jind,Haryana,"Jind, Haryana, India","Jind, Haryana, 126100, India",29.3152073,76.314082,37.68168255612054,361.24066149250234,2049.8868963524415
77,"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,"Kaithal, Haryana, India","Kaithal, Haryana, 132027, India",29.7996588,76.3989903,154.88061640940523,42.371628976947406,1845.1256446778411
78,"Sector-12, Karnal - HSPCB",Karnal,Haryana,"Karnal, Haryana, India","Karnal, Haryana, India",29.7255766,76.9106924,12.498476719587822,2877.521861252338,6035.940639707883
79,"Sector-7, Kurukshetra - HSPCB",Kurukshetra,Haryana,"Kurukshetra, Haryana, India","Kurukshetra, Thanesar, Kurukshetra, Haryana, 132118, India",29.9693747,76.8482787,1.1701058310410641,1308.543058722586,1082.619605721106
80,"General Hospital, Mandikhera - HSPCB",Mandikhera,Haryana,"Mandikhera, Haryana, India","Mandikhera, Ferozepur Jhirka, Nuh, Haryana, 122008, India",27.897075,76.9922014,5000.0,15000.0,30000.0
81,"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,"Manesar, Haryana, India","Manesar, Gurugram, Haryana, India",28.3247096,76.9263787,1135.3006013367274,943.6559142126508,4137.154497306762
82,"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,"Narnaul, Haryana, India","Narnaul, Mahendragarh, Haryana, 123001, India",28.0438456,76.1062015,6.322722359561894,1098.7921092938773,906.6808803779958
83,"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,"Palwal, Haryana, India","Palwal, Haryana, India",28.0599426,77.3223422,141.50326714442957,1408.6288939228546,3168.513872121928
84,"Sector-6, Panchkula - HSPCB",Panchkula,Haryana,"Panchkula, Haryana, India","Panchkula, Haryana, 134109, India",30.6975401,76.8551066,200.56540206764575,484.4670781012818,2617.8084238941374
85,"Sector-18, Panipat - HSPCB",Panipat,Haryana,"Panipat, Haryana, India","Panipat, Haryana, 132100, India",29.3912753,76.9771675,21.164291384627383,1993.9838463758779,1773.7329676429804
86,"MD University, Rohtak - HSPCB",Rohtak,Haryana,"Rohtak, Haryana, India","Rohtak, Haryana, 124001, India",28.9010899,76.5801935,9.510800072662025,916.5812408015257,3164.343608416387
87,"F-Block, Sirsa - HSPCB",Sirsa,Haryana,"Sirsa, Haryana, India","Sirsa, Haryana, India",29.6063041,74.9036568,221.0384543446829,5147.857935451958,11944.359571799203
88,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,"Sonipat, Haryana, India","Sonipat, Haryana, 131001, India",28.9953758,77.0233627,20.391688154343168,9751.512542752349,1722.2581612987738
89,"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,"Yamuna Nagar, Haryana, India","MLGH Trauma Centre Yamuna Nagar Blood Bank, Gobindpuri Road, Yamunanagar, Jagadhri, Yamunanagar, Haryana, 135001, India",30.1389108,77.301064,78.62113941182723,1588.4094533085538,2070.407260673761
90,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,"Jorapokhar, Jharkhand, India","Jorapokhar, Jharia, Jharia-Cum-Jorapokhar-Cum-Sindri, Dhanbad, Jharkhand, 828111, India",23.7167069,86.4110166,11.047290480460122,2381.093325743904,1949.1759152271866
91,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,Karnataka,"Bagalkot, Karnataka, India","Bagalkot, Station Road, Bagalkote, Bagalakote taluk, Bagalkote, Karnataka, 587103, India",16.1793224,75.6999315,44.27331792997936,2061.9280755421883,1808.743567526252
92,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
93,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
94,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
95,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
96,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
97,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
98,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
99,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
100,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
101,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147553725804,89.44091161270937,120.91499473359302
102,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,"Chamarajanagar, Karnataka, India","Chamarajanagar, Karnataka, India",11.95442,77.1069086,5000.0,15000.0,30000.0
103,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,"Chikkaballapur, Karnataka, India","Nelamangala - Chikkaballapur Highway, Nelamangala, Nelamangala taluk, Bengaluru Rural, Karnataka, 562123, India",13.0993764,77.388729,0.0027004163072093354,567.8689581842416,1717.0139977420442
104,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,"Chikkamagaluru, Karnataka, India","Chikkamagaluru, Karnataka, India",13.4058699,75.638758,600.7520615501182,5986.736979909078,18862.677761368603
105,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,"Hubballi, Karnataka, India","Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",15.3518378,75.1379848,34.6040739397196,2038.2584938888865,367.234540677653
106,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,"Kalaburagi, Karnataka, India","Kalaburagi, Karnataka, India",17.2408957,76.7697439,440.42637032467,8734.369823708039,3284.6176573255175
107,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,"Mysuru, Karnataka, India","Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India",12.3041464,76.6529521,51.87844863193671,443.9865597157485,2072.1041998698743
108,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,"Ramanagara, Karnataka, India","Ramanagara, Karnataka, India",12.720006,77.3184199,355.60217815618313,1588.181972380814,3053.82112164612
109,"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,Karnataka,"Vijayapura, Karnataka, India","Vijayapura, Karnataka, India",16.814415,75.8933856,234.2030940591959,132.8619871723899,13261.920354763419
110,"Collector Office, Yadgir - KSPCB",Yadgir,Karnataka,"Yadgir, Karnataka, India","Yadgir, Karnataka, India",16.5744123,76.9254434,532.6497321350627,6505.1301272987175,6256.899230587158
111,"Udyogamandal, Eloor - Kerala PCB",Eloor,Kerala,"Eloor, Kerala, India","Eloor, Paravur, Ernakulam, Kerala, 683501, India",10.0669964,76.2989276,3.140001216005597,247.63488037844104,174.3100585626844
112,"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,Kerala,"Ernakulam, Kerala, India","Ernakulam, Kanayannur, Ernakulam, Kerala, 682035, India",9.9837257,76.2740001,5.637074002598356,98.59138763704699,341.5159770626461
