StationName,City,State,FullAddress,location,latitude,longitude
"F-Block, Sirsa - HSPCB",Sirsa,Haryana,"Sirsa, Haryana, India","Sirsa, Haryana, India",29.6063041,74.9036568
"Murthal, Sonipat - HSPCB",Sonipat,Haryana,"Sonipat, Haryana, India","Sonipat, Haryana, 131001, India",28.9953758,77.0233627
"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,"Yamuna Nagar, Haryana, India","MLGH Trauma Centre Yamuna Nagar Blood Bank, Gobindpuri Road, Yamunanagar, Jagadhri, Yamunanagar, Haryana, 135001, India",30.1389108,77.301064
"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,"Jorapokhar, Jharkhand, India","Jorapokhar, Jharia, Jharia-Cum-Jorapokhar-Cum-Sindri, Dhanbad, Jharkhand, 828111, India",23.7167069,86.4110166
"Vidayagiri, Bagalkot - KSPCB",Bagalkot,Karnataka,"Bagalkot, Karnataka, India","Bagalkot, Station Road, Bagalkote, Bagalakote taluk, Bagalkote, Karnataka, 587103, India",16.1793224,75.6999315
"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226
"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,"Chamarajanagar, Karnataka, India","Chamarajanagar, Karnataka, India",11.95442,77.1069086
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,"Chikkaballapur, Karnataka, India","Nelamangala - Chikkaballapur Highway, Nelamangala, Nelamangala taluk, Bengaluru Rural, Karnataka, 562123, India",13.0993764,77.388729
"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,"Chikkamagaluru, Karnataka, India","Chikkamagaluru, Karnataka, India",13.4058699,75.638758
"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,"Hubballi, Karnataka, India","Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",15.3518378,75.1379848
"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,"Kalaburagi, Karnataka, India","Kalaburagi, Karnataka, India",17.2408957,76.7697439
"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,"Mysuru, Karnataka, India","Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India",12.3041464,76.6529521
"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,"Ramanagara, Karnataka, India","Ramanagara, Karnataka, India",12.720006,77.3184199
"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,Karnataka,"Vijayapura, Karnataka, India","Vijayapura, Karnataka, India",16.814415,75.8933856
